date,portfolio_value,cash,n_positions,positions,n_buys,n_sells
2023-08-29,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-30,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-08-31,1008891.4575608798,1008891.4575608798,0,[],0,63
2023-09-01,1008891.4575608798,1008891.4575608798,0,[],0,62
2023-09-05,1008891.4575608798,1008891.4575608798,0,[],1,61
2023-09-06,1008050.7117754185,925494.9225469792,1,['URA'],0,62
2023-09-07,1007747.3212610447,925494.9225469792,1,['URA'],0,63
2023-09-08,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-11,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-12,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-13,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-14,1008087.5366383014,1008087.5366383014,0,[],0,62
2023-09-15,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-18,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-19,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-20,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-21,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-22,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-25,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-26,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-27,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-28,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-09-29,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-02,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-03,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-04,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-05,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-06,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-09,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-10,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-11,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-12,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-13,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-16,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-17,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-18,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-19,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-20,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-23,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-24,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-25,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-26,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-27,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-30,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-10-31,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-01,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-02,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-03,1008087.5366383014,1008087.5366383014,0,[],0,62
2023-11-06,1008087.5366383014,1008087.5366383014,0,[],0,61
2023-11-07,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-08,1008087.5366383014,1008087.5366383014,0,[],0,62
2023-11-09,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-10,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-13,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-14,1008087.5366383014,1008087.5366383014,0,[],0,62
2023-11-15,1008087.5366383014,1008087.5366383014,0,[],0,62
2023-11-16,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-17,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-20,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-21,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-22,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-24,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-27,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-28,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-11-29,1008087.5366383014,1008087.5366383014,0,[],0,61
2023-11-30,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-01,1008087.5366383014,1008087.5366383014,0,[],0,62
2023-12-04,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-05,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-06,1008087.5366383014,1008087.5366383014,0,[],0,62
2023-12-07,1008087.5366383014,1008087.5366383014,0,[],0,62
2023-12-08,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-11,1008087.5366383014,1008087.5366383014,0,[],0,63
2023-12-12,1008087.5366383014,1008087.5366383014,0,[],0,63
