ticker,entry_date,exit_date,entry_price,exit_price,shares,cost_basis,net_proceeds,pnl,pnl_pct,holding_days
UNG,2024-05-24,2024-05-28,19.63962084007263,18.891089847564697,4243,83414.2421356526,80074.73932899379,-3339.502806658813,-0.04003516331453253,4
TAN,2024-05-29,2024-05-31,46.86681969451904,48.951,1778,83412.5346222717,86947.84312199999,3535.308499728286,0.04238342013868423,2
SMH,2024-06-03,2024-06-04,245.3451061096191,243.05670304870605,339,83255.16296213203,82313.82611117784,-941.3368509541906,-0.011306648350233251,1
XLU,2024-09-19,2024-09-24,39.13909847259521,39.90005862808228,2129,83410.46778880335,84862.27759436797,1451.809805564626,0.017405606802741256,5
NLR,2024-09-23,2024-09-27,80.98090152740478,84.73517969512939,1029,83412.67701937121,87105.30740638185,3692.630387010635,0.04426941466167166,4
FXI,2024-09-26,2024-09-27,31.89186061096191,31.708259771347045,2612,83384.84145574833,82739.15254823572,-645.6889075126091,-0.007743480664351579,1
LIT,2024-10-07,2024-10-09,47.37733183288574,45.32462893295288,1758,83372.63871157533,79601.01696646702,-3771.6217451083066,-0.04523812372253321,2
URNM,2024-10-17,2024-10-21,51.82177045822143,53.296648475646975,1608,83412.73630371688,85615.30973809148,2202.5734343746008,0.02640572090039988,4
URA,2024-10-17,2024-10-21,32.98295076370239,33.8760898475647,2526,83398.24856274136,85485.43195199348,2087.1833892521245,0.02502670529923557,4
IBIT,2024-10-30,2024-10-31,40.920881069183345,40.93901954269409,2036,83398.22877071415,83268.49194513624,-129.73682557791471,-0.0015556304671001918,1
BLOK,2024-10-29,2024-10-31,42.582540916442866,41.2986601524353,1956,83374.7414825948,80699.39907890529,-2675.342403689516,-0.032088164306308724,2
IBIT,2024-11-07,2024-11-08,42.75270908355712,43.396558628082275,1949,83408.35503385669,84495.31287336622,1086.9578395095305,0.013031762094676465,1
BLOK,2024-11-07,2024-11-13,43.923881069183345,49.520429695129394,1897,83406.92599062904,93846.3148765288,10439.388885899767,0.12516213446198288,6
IBIT,2024-11-12,2024-11-13,49.06902045822143,51.18876167678833,1698,83402.51593479805,86831.59880985941,3429.082875061358,0.04111486130396986,1
NLR,2025-01-22,2025-01-28,93.07298336029052,86.82309365844726,895,83383.62042756748,77628.96215548599,-5754.658272081491,-0.0690142529500787,6
ARKG,2025-02-18,2025-02-20,30.51047954177856,29.53043946647644,2731,83407.44374822585,80566.98255276421,-2840.461195461641,-0.03405524816269244,2
UNG,2025-02-20,2025-02-21,21.741719312667843,22.36760939025879,3832,83397.58267454933,85626.9665042882,2229.383829738872,0.02673199579943244,1
EWG,2025-03-06,2025-03-07,38.67863938903808,38.311648475646976,2154,83397.10303323201,82440.76752572703,-956.3355075049767,-0.01146725093225237,1
BLOK,2025-05-09,2025-05-12,43.55350831985473,45.07487893295288,1913,83401.17927729798,86142.01515534011,2740.835878042126,0.03286327485765166,3
ARKK,2025-06-09,2025-06-10,62.31224999999999,62.64728908538818,1337,83394.78972824999,83675.66608165683,280.8763534068421,0.003368032395334348,1
USO,2025-06-18,2025-06-24,83.1830984725952,73.26665634155273,1001,83349.54785263886,73266.58307489639,-10082.964777742469,-0.12097203929131141,6
TAN,2025-08-19,2025-08-20,41.32127877807617,40.959,2016,83387.00171461816,82490.77065600001,-896.2310586181557,-0.010747850866318435,1
TAN,2025-08-27,2025-08-28,41.74170076370239,41.48846878051758,1996,83399.75115907431,82728.17270222718,-671.5784568471281,-0.008052523508927245,1
SLV,2025-09-03,2025-09-08,37.36733183288574,37.532429695129395,2230,83412.47913732253,83613.62090191842,201.14176459588634,0.0024114109384609623,5
KWEB,2025-09-10,2025-09-11,40.19015152740478,40.099859390258786,2073,83397.49830042642,83043.88150749046,-353.61679293596535,-0.004240136696452407,1
URNM,2025-09-16,2025-09-17,56.926868930816646,55.1248203048706,1463,83367.29325503054,80566.96449391967,-2800.328761110868,-0.03359025646357891,1
