date,value_Loose,value_Tight
2022-03-24,997903.7492491244,999711.8597495605
2022-03-25,997903.7492491244,999711.8597495605
2022-03-28,997903.7492491244,999711.8597495605
2022-03-29,997903.7492491244,999711.8597495605
2022-03-30,997903.7492491244,999711.8597495605
2022-03-31,997903.7492491244,999711.8597495605
2022-04-01,997903.7492491244,999711.8597495605
2022-04-04,997903.7492491244,999711.8597495605
2022-04-05,997903.7492491244,999711.8597495605
2022-04-06,997903.7492491244,999711.8597495605
2022-04-07,1002123.1593205624,999711.8597495605
2022-04-08,1001026.6766316586,999711.8597495605
2022-04-11,1005765.0330464535,999711.8597495605
2022-04-12,1006090.7052186838,999711.8597495605
2022-04-13,1006090.7052186838,999711.8597495605
2022-04-14,1006090.7052186838,999711.8597495605
2022-04-18,1006090.7052186838,999711.8597495605
2022-04-19,1006090.7052186838,999711.8597495605
2022-04-20,1006090.7052186838,999711.8597495605
2022-04-21,1006090.7052186838,999711.8597495605
2022-04-22,1006090.7052186838,999711.8597495605
2022-04-25,1006090.7052186838,999711.8597495605
2022-04-26,1006090.7052186838,999711.8597495605
2022-04-27,1006090.7052186838,999711.8597495605
2022-04-28,1006090.7052186838,999711.8597495605
2022-04-29,1006090.7052186838,999711.8597495605
2022-05-02,1006090.7052186838,999711.8597495605
2022-05-03,1006090.7052186838,999711.8597495605
2022-05-04,1006090.7052186838,999711.8597495605
2022-05-05,1006090.7052186838,999711.8597495605
2022-05-06,1006090.7052186838,999711.8597495605
2022-05-09,1006090.7052186838,999711.8597495605
2022-05-10,1006090.7052186838,999711.8597495605
2022-05-11,1006090.7052186838,999711.8597495605
2022-05-12,1006090.7052186838,999711.8597495605
2022-05-13,1006090.7052186838,999711.8597495605
2022-05-16,1006090.7052186838,999711.8597495605
2022-05-17,1006090.7052186838,999711.8597495605
2022-05-18,1006090.7052186838,999711.8597495605
2022-05-19,1006090.7052186838,999711.8597495605
2022-05-20,1006090.7052186838,999711.8597495605
2022-05-23,1006090.7052186838,999711.8597495605
2022-05-24,1006090.7052186838,999711.8597495605
2022-05-25,1006090.7052186838,999711.8597495605
2022-05-26,1006090.7052186838,999711.8597495605
2022-05-27,1006090.7052186838,999711.8597495605
2022-05-31,1006090.7052186838,999711.8597495605
2022-06-01,1006090.7052186838,999711.8597495605
2022-06-02,1006090.7052186838,999711.8597495605
2022-06-03,1006090.7052186838,999711.8597495605
2022-06-06,1006090.7052186838,999711.8597495605
2022-06-07,1006090.7052186838,999711.8597495605
2022-06-08,1006090.7052186838,999711.8597495605
2022-06-09,1006090.7052186838,999711.8597495605
2022-06-10,1006090.7052186838,999711.8597495605
2022-06-13,1006090.7052186838,999711.8597495605
2022-06-14,1006090.7052186838,999711.8597495605
2022-06-15,1006090.7052186838,999711.8597495605
2022-06-16,1006090.7052186838,999711.8597495605
2022-06-17,1006090.7052186838,999711.8597495605
2022-06-21,1006090.7052186838,999711.8597495605
2022-06-22,1006090.7052186838,999711.8597495605
2022-06-23,1006090.7052186838,999711.8597495605
2022-06-24,1006090.7052186838,999711.8597495605
2022-06-27,1006090.7052186838,999711.8597495605
2022-06-28,1006090.7052186838,999711.8597495605
2022-06-29,1006090.7052186838,999711.8597495605
2022-06-30,1006090.7052186838,999711.8597495605
2022-07-01,1006090.7052186838,999711.8597495605
2022-07-05,1006090.7052186838,999711.8597495605
2022-07-06,1006090.7052186838,999711.8597495605
2022-07-07,1006090.7052186838,999711.8597495605
2022-07-08,1006090.7052186838,999711.8597495605
2022-07-11,1006090.7052186838,999711.8597495605
2022-07-12,1006090.7052186838,999711.8597495605
2022-07-13,1006090.7052186838,999711.8597495605
2022-07-14,1006090.7052186838,999711.8597495605
2022-07-15,1006090.7052186838,999711.8597495605
2022-07-18,1006090.7052186838,999711.8597495605
2022-07-19,1006090.7052186838,999711.8597495605
2022-07-20,1006090.7052186838,999711.8597495605
2022-07-21,1006090.7052186838,999711.8597495605
2022-07-22,1006090.7052186838,999711.8597495605
2022-07-25,1006090.7052186838,999711.8597495605
2022-07-26,1006090.7052186838,999711.8597495605
2022-07-27,1006090.7052186838,999711.8597495605
2022-07-28,1006090.7052186838,999711.8597495605
2022-07-29,1006090.7052186838,999711.8597495605
2022-08-01,1006090.7052186838,999711.8597495605
2022-08-02,1006090.7052186838,999711.8597495605
2022-08-03,1006090.7052186838,999711.8597495605
2022-08-04,1006090.7052186838,999711.8597495605
2022-08-05,1006090.7052186838,999711.8597495605
2022-08-08,1006090.7052186838,999711.8597495605
2022-08-09,1006090.7052186838,999711.8597495605
2022-08-10,1006090.7052186838,999711.8597495605
2022-08-11,1006090.7052186838,999711.8597495605
2022-08-12,1006090.7052186838,999711.8597495605
2022-08-15,1006090.7052186838,999711.8597495605
2022-08-16,1006090.7052186838,999711.8597495605
2022-08-17,1006090.7052186838,999711.8597495605
2022-08-18,1006090.7052186838,999711.8597495605
2022-08-19,1006090.7052186838,999711.8597495605
2022-08-22,1006090.7052186838,999711.8597495605
2022-08-23,1006090.7052186838,999711.8597495605
2022-08-24,1006090.7052186838,999711.8597495605
2022-08-25,1006090.7052186838,999711.8597495605
2022-08-26,1006090.7052186838,999711.8597495605
2022-08-29,1006090.7052186838,999711.8597495605
2022-08-30,1006090.7052186838,999711.8597495605
2022-08-31,1006090.7052186838,999711.8597495605
2022-09-01,1006090.7052186838,999711.8597495605
2022-09-02,1006090.7052186838,999711.8597495605
2022-09-06,1006090.7052186838,999711.8597495605
2022-09-07,1006090.7052186838,999711.8597495605
2022-09-08,1006090.7052186838,999711.8597495605
2022-09-09,1006090.7052186838,999711.8597495605
2022-09-12,1006090.7052186838,999711.8597495605
2022-09-13,1006090.7052186838,999711.8597495605
2022-09-14,1006090.7052186838,999711.8597495605
2022-09-15,1006090.7052186838,999711.8597495605
2022-09-16,1006090.7052186838,999711.8597495605
2022-09-19,1006090.7052186838,999711.8597495605
2022-09-20,1006090.7052186838,999711.8597495605
2022-09-21,1006090.7052186838,999711.8597495605
2022-09-22,1006090.7052186838,999711.8597495605
2022-09-23,1006090.7052186838,999711.8597495605
2022-09-26,1006090.7052186838,999711.8597495605
2022-09-27,1006090.7052186838,999711.8597495605
2022-09-28,1006090.7052186838,999711.8597495605
2022-09-29,1006090.7052186838,999711.8597495605
2022-09-30,1006090.7052186838,999711.8597495605
2022-10-03,1006090.7052186838,999711.8597495605
2022-10-04,1006090.7052186838,999711.8597495605
