date,portfolio_value,benchmark_value,cash,n_positions,positions,n_buys,n_sells
2025-09-03,989705.7042909439,1004827.0760390074,989705.7042909439,0,[],1,121
2025-09-04,984963.2188577408,1006195.9696789839,906890.3216409439,1,['SJS.NS'],1,121
2025-09-05,985242.8784273551,1007204.6107926029,902117.8784273551,1,['SYRMA.NS'],0,125
2025-09-08,988147.877206652,1008609.4527316695,902117.8784273551,1,['SYRMA.NS'],0,123
2025-09-09,988017.8784273551,1010590.7866598172,902117.8784273551,1,['SYRMA.NS'],0,126
2025-09-10,988070.7145523551,1015273.7397015543,988070.7145523551,0,[],0,124
2025-09-11,988070.7145523551,1017759.3392196933,988070.7145523551,0,[],0,125
2025-09-12,988070.7145523551,1021289.6380841779,988070.7145523551,0,[],0,125
2025-09-15,988070.7145523551,1019884.6862114748,988070.7145523551,0,[],0,125
2025-09-16,988070.7145523551,1026260.8371204556,988070.7145523551,0,[],0,124
2025-09-17,988070.7145523551,1030187.3368103878,988070.7145523551,0,[],4,119
2025-09-18,982845.0242040075,1032781.0010930703,657881.8260228551,4,"['COCHINSHIP.NS', 'MTARTECH.NS', 'IDEAFORGE.NS', 'SHAILY.NS']",1,124
2025-09-19,982180.2724931664,1029899.0908158472,900445.870393557,1,['COCHINSHIP.NS'],1,120
2025-09-22,983790.476143557,1024819.8270150259,905871.976143557,1,['KAYNES.NS'],0,119
2025-09-23,983815.854243557,1024315.5614250345,983815.854243557,0,[],1,122
2025-09-24,981406.626045557,1019020.168095126,901453.376045557,1,['ADANIGREEN.NS'],2,120
2025-09-25,976993.5973355296,1013112.3344770463,735765.496688557,3,"['ADANIGREEN.NS', 'SYRMA.NS', 'MINDACORP.NS']",1,119
2025-09-26,973649.5966523337,1004106.5709862927,893058.9987519431,1,['COCHINSHIP.NS'],0,125
2025-09-29,973737.3995919431,1003386.1758672142,973737.3995919431,0,[],0,126
2025-09-30,973737.3995919431,999711.7540054595,973737.3995919431,0,[],0,126
2025-10-01,973737.3995919431,1010482.7218952734,973737.3995919431,0,[],0,123
2025-10-03,973737.3995919431,1012824.1984161421,973737.3995919431,0,[],1,120
2025-10-06,973650.9538449275,1019704.6149151141,891241.6552609431,1,['DATAPATTNS.NS'],1,123
2025-10-07,971607.7065613706,1020929.3855578203,890905.3032410581,1,['AXISBANK.NS'],0,123
2025-10-08,971186.1015809019,1017219.0153969753,890905.3032410581,1,['AXISBANK.NS'],1,125
2025-10-09,976363.9936032947,1023234.8038459622,887732.9936032947,1,['SKYGOLD.NS'],1,123
2025-10-10,977849.9419980701,1028530.1971758709,887732.9936032947,1,['SKYGOLD.NS'],1,123
2025-10-13,976561.2436032947,1025360.26077138,887732.9936032947,1,['SKYGOLD.NS'],1,121
2025-10-14,971351.6950423378,1021938.0266714393,804486.7505232948,2,"['SKYGOLD.NS', 'LTF.NS']",0,123
2025-10-15,973997.6312424309,1030511.5311040184,889817.1350266106,1,['LTF.NS'],0,122
2025-10-16,973266.0357834465,1039985.6118856729,889817.1350266106,1,['LTF.NS'],2,120
2025-10-17,969671.5870199543,1045281.0052155814,806616.9839926106,2,"['LTF.NS', 'BORORENEW.NS']",1,124
2025-10-20,969977.7806083391,1051368.8001963855,890244.9817802141,1,['MUTHOOTFIN.NS'],0,124
2025-10-21,969576.482809679,1051404.858429112,969576.482809679,0,[],0,126
2025-10-23,969576.482809679,1053278.1275927161,969576.482809679,0,[],2,122
2025-10-24,969568.2345477906,,803230.6923114625,2,"['BHAGERIA.NS', 'SKYGOLD.NS']",0,126
2025-10-27,970592.4660084625,1056736.3099917474,970592.4660084625,0,[],0,123
2025-10-28,970592.4660084625,1055835.733642672,970592.4660084625,0,[],1,122
2025-10-29,970110.1620297614,1060878.9392107667,887491.5130734625,1,['SONACOMS.NS'],0,124
2025-10-30,970107.1346961773,1053962.4644790678,970107.1346961773,0,[],0,124
2025-10-31,970107.1346961773,1048559.0063846158,970107.1346961773,0,[],0,123
2025-11-03,970107.1346961773,1049531.6991991443,970107.1346961773,0,[],1,124
2025-11-04,971103.710317193,1043191.6065228904,887271.7120261773,1,['INTELLECT.NS'],1,122
2025-11-06,970814.1907177399,1038328.4722511561,887777.3928661774,1,['TITAN.NS'],0,124
2025-11-07,970463.7717181774,1039048.977303871,970463.7717181774,0,[],0,125
2025-11-10,970463.7717181774,1042831.3539965329,970463.7717181774,0,[],0,122
2025-11-11,970463.7717181774,1047622.4817364501,970463.7717181774,0,[],2,121
2025-11-12,969354.9080145719,1054466.8400026956,803860.5644476773,2,"['BHARATFORG.NS', 'BHEL.NS']",0,124
2025-11-13,969131.3235743769,1053278.1275927161,969131.3235743769,0,[],0,123
2025-11-14,969131.3235743769,1054863.0408281432,969131.3235743769,0,[],0,125
2025-11-17,969131.3235743769,1058969.7217480722,969131.3235743769,0,[],0,125
2025-11-18,969131.3235743769,1055367.416351771,969131.3235743769,0,[],0,125
2025-11-19,969131.3235743769,1060410.6219198657,969131.3235743769,0,[],1,122
2025-11-20,964897.0644863769,1064985.6201306959,885877.0644863769,1,['INTELLECT.NS'],0,124
2025-11-21,963912.7586783769,1060230.550623505,963912.7586783769,0,[],0,125
2025-11-24,963912.7586783769,1056556.1287617504,963912.7586783769,0,[],0,120
