date,portfolio_value,benchmark_value,cash,n_positions,positions,n_buys,n_sells
2024-11-22,1000000.0,1033780.0039060228,1000000.0,0,[],0,126
2024-11-25,1000000.0,1048771.96724048,1000000.0,0,[],0,126
2024-11-26,1000000.0,1048035.9231147174,1000000.0,0,[],0,126
2024-11-27,1000000.0,1051909.789788824,1000000.0,0,[],0,126
2024-11-28,1000000.0,1036956.6029518374,1000000.0,0,[],0,126
2024-11-29,1000000.0,1045479.1569232835,1000000.0,0,[],0,125
2024-12-02,1000000.0,1051289.9569344437,1000000.0,0,[],0,121
2024-12-03,1000000.0,1057488.16725722,1000000.0,0,[],0,125
2024-12-04,1000000.0,1059231.336327951,1000000.0,0,[],0,125
2024-12-05,1000000.0,1068877.344736776,1000000.0,0,[],0,123
2024-12-06,1000000.0,1068722.356967924,1000000.0,0,[],0,125
2024-12-09,1000000.0,1065855.733459814,1000000.0,0,[],0,126
2024-12-10,1000000.0,1064073.6696705841,1000000.0,0,[],0,125
2024-12-11,1000000.0,1065197.1241079632,1000000.0,0,[],0,125
2024-12-12,1000000.0,1061826.879016855,1000000.0,0,[],0,126
2024-12-13,1000000.0,1069497.0593701277,1000000.0,0,[],0,126
2024-12-16,1000000.0,1067172.833942487,1000000.0,0,[],0,125
2024-12-17,1000000.0,1054543.9907541699,1000000.0,0,[],0,126
2024-12-18,1000000.0,1048655.7559690978,1000000.0,0,[],0,125
2024-12-19,1000000.0,1039707.1334095937,1000000.0,0,[],0,124
2024-12-20,1000000.0,1023281.8583210816,1000000.0,0,[],0,126
2024-12-23,1000000.0,1029131.434829712,1000000.0,0,[],0,126
2024-12-24,1000000.0,1028472.8254778612,1000000.0,0,[],0,126
2024-12-26,1000000.0,1029170.2113271824,1000000.0,0,[],0,126
2024-12-27,1000000.0,1031959.4000613804,1000000.0,0,[],0,126
2024-12-30,1000000.0,1024134.1137182263,1000000.0,0,[],0,126
2024-12-31,1000000.0,1024521.5240298428,1000000.0,0,[],0,126
2025-01-01,1000000.0,1028860.2357894776,1000000.0,0,[],0,126
2025-01-02,1000000.0,1045517.9334207538,1000000.0,0,[],0,124
2025-01-03,1000000.0,1039784.5681835057,1000000.0,0,[],0,122
2025-01-06,1000000.0,1024560.3005273131,1000000.0,0,[],0,126
2025-01-07,1000000.0,1027194.5014926586,1000000.0,0,[],0,126
2025-01-08,1000000.0,1026264.8113216024,1000000.0,0,[],0,126
2025-01-09,1000000.0,1019407.9916469749,1000000.0,0,[],0,126
2025-01-10,1000000.0,1015805.3240131027,1000000.0,0,[],0,126
2025-01-13,1000000.0,1001007.1249449681,1000000.0,0,[],0,126
2025-01-14,1000000.0,1004338.711759635,1000000.0,0,[],0,126
2025-01-15,1000000.0,1005578.259247367,1000000.0,0,[],0,126
2025-01-16,1000000.0,1009994.5240019426,1000000.0,0,[],0,126
2025-01-17,1000000.0,1006314.3033731297,1000000.0,0,[],0,126
2025-01-20,1000000.0,1012202.6563792303,1000000.0,0,[],0,126
2025-01-21,1000000.0,999108.9681053851,1000000.0,0,[],0,126
2025-01-22,1000000.0,1002750.4122367277,1000000.0,0,[],0,126
2025-01-23,1000000.0,1005307.1784281615,1000000.0,0,[],0,126
2025-01-24,1000000.0,1000193.6460452938,1000000.0,0,[],0,126
2025-01-27,1000000.0,990508.979360027,1000000.0,0,[],0,126
2025-01-28,1000000.0,996862.059230627,1000000.0,0,[],0,126
2025-01-29,1000000.0,1004803.556845163,1000000.0,0,[],0,126
2025-01-30,1000000.0,1008057.5906648892,1000000.0,0,[],0,126
2025-01-31,1000000.0,1018826.9352900648,1000000.0,0,[],0,126
2025-02-01,1000000.0,1015456.6901989565,1000000.0,0,[],0,126
2025-02-03,1000000.0,1012899.9240075228,1000000.0,0,[],0,126
2025-02-04,1000000.0,1026768.314683572,1000000.0,0,[],0,126
2025-02-05,1000000.0,1027543.1353068048,1000000.0,0,[],0,126
2025-02-06,1000000.0,1024134.1137182263,1000000.0,0,[],0,126
2025-02-07,1000000.0,1021732.3352956449,1000000.0,0,[],0,126
2025-02-10,1000000.0,1014565.6583043416,1000000.0,0,[],0,126
2025-02-11,1000000.0,1001588.1813018783,1000000.0,0,[],0,126
2025-02-12,1000000.0,1000503.5033619696,1000000.0,0,[],0,126
2025-02-13,1000000.0,1000116.2112713819,1000000.0,0,[],0,126
2025-02-14,1000000.0,995390.0892001308,1000000.0,0,[],0,126
2025-02-17,1000000.0,996009.8038334823,1000000.0,0,[],0,126
2025-02-18,1000000.0,994963.902391044,1000000.0,0,[],0,126
2025-02-19,1000000.0,995157.6666573666,1000000.0,0,[],0,126
