date,value_Loose,value_Tight,benchmark
2025-12-22,963912.7586783769,995670.138083153,1065165.6914270562
2025-12-23,963912.7586783769,995670.138083153,1065129.6331943297
2025-12-24,963447.6136725814,995670.138083153,1064481.244607068
2025-12-26,962516.8094204209,995670.138083153,1060734.8162134965
2025-12-29,961458.2578151963,995670.138083153,1056015.8049390325
2025-12-30,962561.6468820914,995670.138083153,1056628.2452272037
2025-12-31,962914.30756537,995670.138083153,1063796.7977870798
2026-01-01,963987.23156537,995670.138083153,1063868.804318897
2026-01-02,966897.23156537,995670.138083153,1071865.9266960314
2026-01-05,965819.4206476356,995670.138083153,1067759.3557097386
2026-01-06,963963.9980661826,995670.138083153,1066354.4038370356
2026-01-07,964629.6217465673,995670.138083153,1065273.7561915999
2026-01-08,952403.8801825508,995670.138083153,1055223.2933545008
2026-01-09,951811.1167221675,995670.138083153,1046793.9119191918
2026-01-12,950827.0176270258,995670.138083153,1051404.858429112
2026-01-13,950827.0176270258,995670.138083153,1048739.1876146125
2026-01-14,950827.0176270258,995670.138083153,1047046.0996810056
2026-01-15,950827.0176270258,995670.138083153,1047046.0996810056
2026-01-16,950827.0176270258,995670.138083153,1048414.9933209819
2026-01-19,950827.0176270258,995670.138083153,1043335.7295201606
2026-01-20,950827.0176270258,995670.138083153,1031267.9844558234
2026-01-21,950827.0176270258,995670.138083153,1026476.9666495426
2026-01-22,950827.0176270258,995670.138083153,1032456.6968658031
2026-01-23,950827.0176270258,995670.138083153,1022730.538255971
2026-01-27,950827.0176270258,995670.138083153,1027449.549530435
2026-01-28,950827.0176270258,995670.138083153,1032456.6968658031
2026-01-29,950827.0176270258,995670.138083153,1035194.4841457556
2026-01-30,950827.0176270258,995670.138083153,1032889.0658576138
2026-02-02,950827.0176270258,995670.138083153,1022838.6030205146
2026-02-03,950827.0176270258,995670.138083153,1049135.3884400604
2026-02-04,950827.0176270258,995670.138083153,1050612.3468445803
2026-02-05,953297.3313020258,995670.138083153,1045929.393802843
2026-02-06,952292.5363801508,995670.138083153,1047010.041448279
2026-02-09,953457.8810067817,995670.138083153,1053890.457947251
2026-02-10,953457.8810067817,995670.138083153,1057492.7633435524
2026-02-11,956099.0971557817,995670.138083153,1058537.462689898
2026-02-12,961093.3321509165,995670.138083153,1052845.7586009055
2026-02-13,961744.2149634165,995670.138083153,1040597.9422402078
2026-02-16,960610.7335580415,995670.138083153,1047406.3522073629
2026-02-17,960610.7335580415,995670.138083153,1050144.0295536793
2026-02-18,960610.7335580415,995670.138083153,1052593.6807727278
2026-02-19,960610.7335580415,995670.138083153,1038832.8477747837
2026-02-20,960610.7335580415,995670.138083153,1041894.8293483672
2026-02-23,961714.1665298227,995670.138083153,1046289.6463292004
2026-02-24,961403.4276785415,995670.138083153,1036923.6303120895
2026-02-25,961403.4276785415,995670.138083153,1039733.4241238591
2026-02-26,961403.4276785415,995670.138083153,1039553.2428938623
2026-02-27,961403.4276785415,995670.138083153,1027701.7372922488
2026-03-02,961403.4276785415,995670.138083153,1015597.9339951851
2026-03-04,961403.4276785415,995670.138083153,998883.2941218375
2026-03-05,961403.4276785415,995670.138083153,1009906.3398398289
2026-03-06,961403.4276785415,995670.138083153,998739.1711245673
2026-03-09,961403.4276785415,995670.138083153,981340.0844312315
2026-03-10,961403.4276785415,995670.138083153,990453.9126865285
2026-03-11,961403.4276785415,995670.138083153,974639.73922862
2026-03-12,961403.4276785415,995670.138083153,965201.716679692
2026-03-13,961403.4276785415,995670.138083153,946289.6133491095
2026-03-16,961403.4276785415,995670.138083153,955259.3186071364
2026-03-17,961403.4276785415,995670.138083153,962391.9228679223
2026-03-18,961403.4276785415,995670.138083153,970569.1165414174
2026-03-19,961403.4276785415,995670.138083153,944236.2728891451
2026-03-20,961403.4276785415,995670.138083153,944056.2015927845
